date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:35:46	71746/71746	---M--	200	added ('OK')	text/html	etag:%22eed1fe41ae8da1:0%22	http://www.youkeb.com/index.html?chlang=cn&langid=0	C:/My%20Web%20Sites/tyhm/www.youkeb.com/indexbc7c.html	(from http://www.youkeb.com/)
23:35:48	39892/39892	---M--	200	added ('OK')	text/html	etag:%227120d42ae8da1:0%22	http://www.youkeb.com/copy_index_135411.html?chlang=&langid=2	C:/My%20Web%20Sites/tyhm/www.youkeb.com/copy_index_1354119bf8.html	(from http://www.youkeb.com/)
23:35:50	13763/13763	---M--	200	added ('OK')	application/javascript	etag:%22d4fd2c41ae8da1:0%22	http://www.youkeb.com/res/lang/style_1/transform.js?201603091	C:/My%20Web%20Sites/tyhm/www.youkeb.com/res/lang/style_1/transform35c0.js	(from http://www.youkeb.com/)
23:35:51	1217/1217	---M--	200	added ('OK')	image/png	etag:%226292e49c137bd81:0%22	http://www.youkeb.com/img/upimages/pkgimg/icon/icon19.png	C:/My%20Web%20Sites/tyhm/www.youkeb.com/img/upimages/pkgimg/icon/icon19.png	(from http://www.youkeb.com/)
23:35:52	1185/1185	---M--	200	added ('OK')	image/png	etag:%2227e5d39c137bd81:0%22	http://www.youkeb.com/img/upimages/pkgimg/icon/icon20.png	C:/My%20Web%20Sites/tyhm/www.youkeb.com/img/upimages/pkgimg/icon/icon20.png	(from http://www.youkeb.com/)
23:36:02	159261/159261	---M--	200	added ('OK')	image/png	etag:%22e4601041ae8da1:0%22	http://www.youkeb.com/img/logo.png?1698394732	C:/My%20Web%20Sites/tyhm/www.youkeb.com/img/logo004d.png	(from http://www.youkeb.com/)
23:36:04	1700239/1700239	---M--	200	added ('OK')	image/png	etag:%221f3fec233e5aa57dedaa2087ed3564bd-2%22	https://cdn.yun.sooce.cn/4/66083/png/16983766839749494e412c2b376a22e40c49b4c42cc92.png?version=1698376685	C:/My%20Web%20Sites/tyhm/cdn.yun.sooce.cn/4/66083/png/16983766839749494e412c2b376a22e40c49b4c42cc92e92d.png	(from http://www.youkeb.com/)
23:36:06	1387/1387	---M--	200	added ('OK')	image/png	etag:%22b35a739b137bd81:0%22	http://www.youkeb.com/img/upimages/pkgimg/icon/icon1.png	C:/My%20Web%20Sites/tyhm/www.youkeb.com/img/upimages/pkgimg/icon/icon1.png	(from http://www.youkeb.com/)
23:36:07	1668554/1668554	---M--	200	added ('OK')	image/jpeg	etag:%22a16b34e709ae454116e329d7dabb8ffc-2%22	https://cdn.yun.sooce.cn/4/66083/jpg/165223639430259ae148ddb2d831e.jpg?version=1652236399	C:/My%20Web%20Sites/tyhm/cdn.yun.sooce.cn/4/66083/jpg/165223639430259ae148ddb2d831e0e65.jpg	(from http://www.youkeb.com/)
23:36:07	1819366/1819366	---M--	200	added ('OK')	image/png	etag:%22e7190dfb1748274b1a5aa2a98f87b10c-2%22	https://cdn.yun.sooce.cn/4/66083/png/1698376679883e84dc732475a3f2c539b0bf3bd8104f7.png?version=1698376682	C:/My%20Web%20Sites/tyhm/cdn.yun.sooce.cn/4/66083/png/1698376679883e84dc732475a3f2c539b0bf3bd8104f743b7.png	(from http://www.youkeb.com/)
